timestamp,asset,mid_price,bid,ask,volume,fair_value_hint
0,NEXUS_AI,200.05,199.8,200.3,559,
1,NEXUS_AI,199.17,198.92,199.42,564,
2,NEXUS_AI,199.88,199.63,200.13,348,
3,NEXUS_AI,201.74,201.49,201.99,267,
4,NEXUS_AI,201.7,201.45,201.95,259,
5,NEXUS_AI,201.07,200.82,201.32,498,
6,NEXUS_AI,201.07,200.82,201.32,473,
7,NEXUS_AI,199.85,199.6,200.1,416,
8,NEXUS_AI,201.09,200.84,201.34,543,
9,NEXUS_AI,201.8,201.55,202.05,584,
10,NEXUS_AI,202.21,201.96,202.46,231,
11,NEXUS_AI,202.3,202.05,202.55,477,
12,NEXUS_AI,201.47,201.22,201.72,545,
13,NEXUS_AI,202.79,202.54,203.04,580,
14,NEXUS_AI,201.52,201.27,201.77,556,
15,NEXUS_AI,202.31,202.06,202.56,224,
16,NEXUS_AI,206.44,206.19,206.69,360,
17,NEXUS_AI,206.56,206.31,206.81,580,
18,NEXUS_AI,209.21,208.96,209.46,426,
19,NEXUS_AI,208.57,208.32,208.82,560,
20,NEXUS_AI,208.18,207.93,208.43,597,
21,NEXUS_AI,208.91,208.66,209.16,290,
22,NEXUS_AI,210.82,210.57,211.07,393,
23,NEXUS_AI,213.38,213.13,213.63,484,
24,NEXUS_AI,213.9,213.65,214.15,369,
25,NEXUS_AI,214.81,214.56,215.06,279,
26,NEXUS_AI,216.05,215.8,216.3,520,
27,NEXUS_AI,217.87,217.62,218.12,354,
28,NEXUS_AI,218.97,218.72,219.22,562,
29,NEXUS_AI,220.42,220.17,220.67,294,
30,NEXUS_AI,220.8,220.55,221.05,474,
31,NEXUS_AI,222.41,222.16,222.66,313,
32,NEXUS_AI,223.62,223.37,223.87,585,
33,NEXUS_AI,226.25,226.0,226.5,487,
34,NEXUS_AI,227.53,227.28,227.78,528,
35,NEXUS_AI,230.12,229.87,230.37,324,
36,NEXUS_AI,230.89,230.64,231.14,258,
37,NEXUS_AI,235.25,235.0,235.5,570,
38,NEXUS_AI,235.18,234.93,235.43,463,
39,NEXUS_AI,236.97,236.72,237.22,222,
40,NEXUS_AI,239.48,239.23,239.73,249,
41,NEXUS_AI,242.82,242.57,243.07,595,
42,NEXUS_AI,244.25,244.0,244.5,522,
43,NEXUS_AI,245.66,245.41,245.91,417,
44,NEXUS_AI,248.83,248.58,249.08,579,
45,NEXUS_AI,248.66,248.41,248.91,236,
46,NEXUS_AI,250.59,250.34,250.84,237,
47,NEXUS_AI,252.26,252.01,252.51,328,
48,NEXUS_AI,255.41,255.16,255.66,408,
49,NEXUS_AI,255.03,254.78,255.28,407,
50,NEXUS_AI,256.57,256.32,256.82,203,
51,NEXUS_AI,258.96,258.71,259.21,581,
52,NEXUS_AI,261.61,261.36,261.86,457,
53,NEXUS_AI,262.69,262.44,262.94,551,
54,NEXUS_AI,264.15,263.9,264.4,395,
55,NEXUS_AI,268.84,268.59,269.09,215,
56,NEXUS_AI,271.21,270.96,271.46,479,
57,NEXUS_AI,275.17,274.92,275.42,273,
58,NEXUS_AI,279.0,278.75,279.25,573,
59,NEXUS_AI,279.9,279.65,280.15,205,
60,NEXUS_AI,282.12,281.87,282.37,493,
61,NEXUS_AI,284.4,284.15,284.65,480,
62,NEXUS_AI,286.37,286.12,286.62,376,
63,NEXUS_AI,285.77,285.52,286.02,530,
64,NEXUS_AI,288.44,288.19,288.69,329,
65,NEXUS_AI,291.96,291.71,292.21,543,
66,NEXUS_AI,295.62,295.37,295.87,481,
67,NEXUS_AI,295.38,295.13,295.63,237,
68,NEXUS_AI,297.38,297.13,297.63,497,
69,NEXUS_AI,300.17,299.92,300.42,382,
70,NEXUS_AI,302.27,302.02,302.52,235,
71,NEXUS_AI,305.25,305.0,305.5,430,
72,NEXUS_AI,306.7,306.45,306.95,489,
73,NEXUS_AI,310.2,309.95,310.45,361,
74,NEXUS_AI,311.38,311.13,311.63,564,
75,NEXUS_AI,315.32,315.07,315.57,384,
76,NEXUS_AI,316.65,316.4,316.9,428,
77,NEXUS_AI,319.85,319.6,320.1,449,
78,NEXUS_AI,321.54,321.29,321.79,343,
79,NEXUS_AI,323.15,322.9,323.4,300,
80,NEXUS_AI,323.8,323.55,324.05,209,
81,NEXUS_AI,324.42,324.17,324.67,497,
82,NEXUS_AI,324.21,323.96,324.46,482,
83,NEXUS_AI,324.81,324.56,325.06,476,
84,NEXUS_AI,327.52,327.27,327.77,595,
85,NEXUS_AI,330.49,330.24,330.74,348,
86,NEXUS_AI,331.28,331.03,331.53,457,
87,NEXUS_AI,333.2,332.95,333.45,514,
88,NEXUS_AI,335.65,335.4,335.9,489,
89,NEXUS_AI,338.2,337.95,338.45,274,
90,NEXUS_AI,342.17,341.92,342.42,318,
91,NEXUS_AI,344.68,344.43,344.93,319,
92,NEXUS_AI,344.56,344.31,344.81,398,
93,NEXUS_AI,346.33,346.08,346.58,223,
94,NEXUS_AI,347.49,347.24,347.74,466,
95,NEXUS_AI,351.16,350.91,351.41,334,
96,NEXUS_AI,353.96,353.71,354.21,387,
97,NEXUS_AI,357.51,357.26,357.76,239,
98,NEXUS_AI,360.35,360.1,360.6,407,
99,NEXUS_AI,362.21,361.96,362.46,376,
100,NEXUS_AI,364.31,364.06,364.56,271,
101,NEXUS_AI,366.22,365.97,366.47,239,
102,NEXUS_AI,368.41,368.16,368.66,385,
103,NEXUS_AI,371.16,370.91,371.41,260,
104,NEXUS_AI,372.87,372.62,373.12,545,
105,NEXUS_AI,375.39,375.14,375.64,502,
106,NEXUS_AI,376.63,376.38,376.88,265,
107,NEXUS_AI,379.11,378.86,379.36,268,
108,NEXUS_AI,381.63,381.38,381.88,285,
109,NEXUS_AI,383.2,382.95,383.45,464,
110,NEXUS_AI,384.99,384.74,385.24,568,
111,NEXUS_AI,386.9,386.65,387.15,310,
112,NEXUS_AI,387.54,387.29,387.79,312,
113,NEXUS_AI,389.79,389.54,390.04,498,
114,NEXUS_AI,391.06,390.81,391.31,551,
115,NEXUS_AI,393.01,392.76,393.26,505,
116,NEXUS_AI,394.55,394.3,394.8,208,
117,NEXUS_AI,396.99,396.74,397.24,458,
118,NEXUS_AI,398.4,398.15,398.65,514,
119,NEXUS_AI,399.94,399.69,400.19,472,
120,NEXUS_AI,400,399.75,400.25,508,
121,NEXUS_AI,400,399.75,400.25,596,
122,NEXUS_AI,400,399.75,400.25,471,
123,NEXUS_AI,400,399.75,400.25,446,
124,NEXUS_AI,400,399.75,400.25,556,
125,NEXUS_AI,399.53,399.28,399.78,268,
126,NEXUS_AI,400,399.75,400.25,345,
127,NEXUS_AI,400,399.75,400.25,409,
128,NEXUS_AI,400,399.75,400.25,495,
129,NEXUS_AI,399.95,399.7,400.2,203,
